Joshua,0x1000005
I have some good vintages.,0x100032b
vint,0x100032c
"I own my own vineyards they are on an isle northeast of here!<q>Dost thou like wine?<y>Ah, then join me in a glass!<n>Don't know what thou art missing!",0x100032d
Dancek,0x100032e
a jolly old soul,0x100032f
job,0x1000330
I am a tinker by trade.,0x1000331
heal,0x1000332
"Jolly good, thanks.",0x1000333
tink,0x1000334
I create projectile machinery.,0x1000335
mach,0x1000336
Primarily ship cannons!<q>Dost thou own a ship!<y>Good odds I built the cannons!<n>Thou really should get one!,0x1000337
Sniflet,0x1000338
a cowering man,0x1000339
job,0x100033a
I am hiding.,0x100033b
heal,0x100033c
O.K. for now.,0x100033d
hide,0x100033e
I know something others want!,0x100033f
some,0x1000340
"I... I...<q>Wilt thou promise to use it only to aid the powers of good?<y>The lighter than air device that was stolen lies near the dungeon Hythloth!<n>Oh, no.",0x1000341
Allen,0x1000342
a small boy,0x1000343
job,0x1000344
I know how to find the abyss!,0x1000345
heal,0x1000346
I am fine.,0x1000347
abys,0x1000348
The abyss may only be approached by ship!,0x1000349
ship,0x100034a
Look for the entrance beyond the Pirate's Cove!<q>Wouldst thou like to know more?<y>Ask Blissful of the abyss.<n>Sorry to bore thee.,0x100034b
Frontis,0x100034c
a small druid,0x100034d
job,0x100034e
"Welcome to Cove, the hidden city of wisdom.",0x100034f
heal,0x1000350
"I am well.<q>Art thou well?<y>Very good.<n>Visit our healers, I am sure they can help thee!",0x1000351
wisd,0x1000352
Herein is found much wisdom and peace.,0x1000353
peac,0x1000354
Find peace in our shrine.,0x1000355
Sloven,0x1000356
an old hermit,0x1000357
job,0x1000358
I am a recluse.,0x1000359
heal,0x100035a
I am well.,0x100035b
recl,0x100035c
I have withdrawn from society.,0x100035d
ston,0x100035e
Only the ghost of Isaac who haunts the inn at Skara Brae can tell thee.<q>Hast thou seen him?<y>Ask him!<n>Stay at the inn until he shows himself!,0x100035f
Mentorian,0x1000360
a tall wizard,0x1000361
job,0x1000362
I study the magical arts.,0x1000363
heal,0x1000364
Well indeed.,0x1000365
arts,0x1000366
"There is truth in magic!<q>Dost thou disagree?<y>Well then, begone!<n>Good.",0x1000367
gate,0x1000368
"Since thou dost bear the ankh I shall tell thee. A gate spell requires ash, pearl, and mandrake root!",0x1000369
the ankh,0x100036a
a shining ankh!,0x100036b
job,0x100036c
I resonate with thoughts.<q>Dost thou seek help?<y>What are thy thoughts?<n>Oh.,0x100036d
heal,0x100036e
Bright.,0x100036f
code,0x1000370
To enter the codex chamber...,0x1000371
cham,0x1000372
"One must be eight parts avatar, have the key of three parts, the word of passage and know the pure axiom!",0x1000373
Paul,0x1000374
a strangely familiar bard,0x1000375
job,0x1000376
I play of love.<q>Wilt thou listen?<y>About love.<n>Too bad.,0x1000377
heal,0x1000378
I am well.,0x1000379
love,0x100037a
"I light a candle to our love, in love our problems disappear.",0x100037b
prob,0x100037c
But all in all we soon discover that one and one is all we long to hear!,0x100037d
Linda,0x100037e
a singer,0x100037f
job,0x1000380
I sing of the children.,0x1000381
heal,0x1000382
Fine.,0x1000383
chil,0x1000384
"All round the world, little children being born to the world.",0x1000385
worl,0x1000386
"Got to give them all we can 'til the quest is won, then will the work be done!<q>Wilt thou help?<y>Teach them songs of joy!<n>Hmm.",0x1000387
Merlin,0x1000388
a mystical wizard,0x1000389
job,0x100038a
I use magic.<q>Dost thou study magic?<y>Best of luck with thy studies!<n>Too bad.,0x100038b
heal,0x100038c
Fine.,0x100038d
ston,0x100038e
The black stones are caught in a moon gate!,0x100038f
gate,0x1000390
Stand where the gate of both moons dark shall appear. Search when the moons go dark!,0x1000391
Draconian,0x1000392
an old druid,0x1000393
job,0x1000394
I teach the relation.<q>Knew ye this?<y>Very good!<n>Learn the towns and castles!,0x1000395
heal,0x1000396
I am well.,0x1000397
rela,0x1000398
"There are eight possible combinations of truth, love and courage. Each of the eight virtues is one of those combinations!",0x1000399
Blissful,0x100039a
a majestic seahorse!,0x100039b
job,0x100039c
I know much of the codex!,0x100039d
heal,0x100039e
I am doing well.,0x100039f
code,0x10003a0
The shrine ankh knows how to enter the chamber of the codex!,0x10003a1
abys,0x10003a2
"Meditate at the shrines of honesty, compassion and valor for three cycles to learn how to enter!",0x10003a3
Rabindranath tagore,0x10003a4
a wise man,0x10003a5
job,0x10003a6
I speak of love.<q>Dost thou seek to carry love in thy heart?<y>Thou art a good soul.<n>Thou art a fool.,0x10003a7
heal,0x10003a8
I am old but strong!,0x10003a9
love,0x10003aa
"In love, all life's contradictions dissolve and disappear.",0x10003ab
hear,0x10003ac
Carry love within it!,0x10003ad
Brother Zair,0x10003ae
an old druid,0x10003af
job,0x10003b0
I sit and watch the river.,0x10003b1
heal,0x10003b2
I am well.,0x10003b3
rive,0x10003b4
It flows endlessly.<q>Agree?<y>Good.<n>Indeed.,0x10003b5
word,0x10003b6
The kings of the castles which represent the three principles of virtue each know but one syllable of the word of passage!,0x10003b7
Spellbind,0x10003b8
a slender mage,0x10003b9
job,0x10003ba
I know of the codex.,0x10003bb
heal,0x10003bc
Well indeed.,0x10003bd
code,0x10003be
One must know the combination of the three principles of virtue!,0x10003bf
comb,0x10003c0
The combination of the three principles of virtue equals the measure of time and space!,0x10003c1
Shaman,0x10003c2
a tall mage,0x10003c3
job,0x10003c4
I study the 'one' thing that is the secret to the codex!,0x10003c5
heal,0x10003c6
Quite well.,0x10003c7
stud,0x10003c8
I study of the codex!,0x10003c9
code,0x10003ca
"The one pure axiom is more endless than the changing tides, more eternal than day and night!",0x10003cb
Charm,0x10003cc
a fair sorceress,0x10003cd
job,0x10003ce
I ponder the key to the axiom.,0x10003cf
heal,0x10003d0
Well enough.,0x10003d1
key,0x10003d2
To the axiom.,0x10003d3
axio,0x10003d4
"The one pure axiom encompasses all things.<q>Know ye what they are?<y>Good.<n>The truths of the universe, the love of the heart, and the courage of the soul!",0x10003d5
Circe,0x10003d6
a wise mage,0x10003d7
job,0x10003d8
I teach of the axiom!,0x10003d9
heal,0x10003da
Well.,0x10003db
axio,0x10003dc
The whole of the axiom is greater than all its parts!,0x10003dd
part,0x10003de
"The measure of unending love, the limitless courage needed to face all obstacles, and the truth which encompasses all things!",0x10003df
Wilmoore,0x10003e0
a very big guard,0x10003e1
job,0x10003e2
I am the chief guard in the village of Paws!,0x10003e3
heal,0x10003e4
Excellent.,0x10003e5
guar,0x10003e6
Paws is a great village and we keep it safe!<q>Dost thou mean to cause trouble?<y>Then thou had best leave!<n>Good.,0x10003e7
trou,0x10003e8
Pirates come from an isle to the east!,0x10003e9
Francesca,0x10003ea
a tough girl,0x10003eb
job,0x10003ec
I am the stable hand.,0x10003ed
heal,0x10003ee
Right good.,0x10003ef
stab,0x10003f0
Watch out for ol' Red Eye!<q>Ya haven't come to steal a horse I hope?<y>Well the master ain't gonna like that much!<n>Then must be to see Smith!,0x10003f1
smit,0x10003f2
The talking horse!,0x10003f3
Sven,0x10003f4
a tall burly man,0x10003f5
job,0x10003f6
"I'm a lumberjack, ya.",0x10003f7
heal,0x10003f8
"Fine, thanks.",0x10003f9
lumb,0x10003fa
"Wit' my axe, I can chop'm down quick, ya.",0x10003fb
axe,0x10003fc
"It's a big axe, ya.<q>Art ya a lumberjack?<y>Good for you, ya.<n>Build up those arms, ya!",0x10003fd
Zair the Wise,0x10003fe
a man of many years,0x10003ff
job,0x1000400
I've been near the codex!,0x1000401
heal,0x1000402
Well.,0x1000403
code,0x1000404
Its secrets are boundless!<q>Seen it?<y>Wow!<n>Seek it!,0x1000405
word,0x1000406
A three part key and a word of passage are needed to enter the chamber. Ask my brother beyond Lock Lake of the word!,0x1000407
Sal,0x1000408
a very large woman,0x1000409
job,0x100040a
"I am the barmaid, I serve the ale!",0x100040b
heal,0x100040c
Stronger every day!,0x100040d
ale,0x100040e
We have the finest brew in Britannia!,0x100040f
brew,0x1000410
"We serve only Folley on tap!<q>Dost thou favor Folley?<y>A great mug if I may say so!<n>Too bad, it's the best!",0x1000411
Jingles,0x1000412
a young mage!,0x1000413
job,0x1000414
I seek the wisdom of magic.,0x1000415
heal,0x1000416
Fine.,0x1000417
magi,0x1000418
My master knows the gate travel spell!,0x1000419
mast,0x100041a
"My master is Mentorian.<q>Dost thou know him?<y>Good.<n>He lives in a hidden village near Lock Lake, reachable only by ship. Ask of the gate spell!",0x100041b
Sir Hobie,0x100041c
a tall muscular knight,0x100041d
job,0x100041e
I serve Lord British.,0x100041f
heal,0x1000420
Tired and hungry but always faithful.,0x1000421
fait,0x1000422
I quest always for Britannia!,0x1000423
ques,0x1000424
My quest is to defeat the evils of the world.<q>'tis thy quest also?<y>We are as one.<n>A shame it is!,0x1000425
Damsel,0x1000426
a small druid,0x1000427
job,0x1000428
I am here to buy food.,0x1000429
heal,0x100042a
A bit hungry.,0x100042b
food,0x100042c
"Yes, I hear they have the best rations here.",0x100042d
rati,0x100042e
Take plenty when exploring the dungeons.<q>Dost thou travel in the depths?<y>In the great castle there is a secret entrance!<n>Probably a wimp.,0x100042f
Wheatpin,0x1000430
a meek shepherd,0x1000431
job,0x1000432
I just sit here.,0x1000433
heal,0x1000434
Fine.<q>Art thou looking for something?<y>What?<n>I see.,0x1000435
Barren,0x1000436
a hooded ranger,0x1000437
job,0x1000438
I travel the land.,0x1000439
heal,0x100043a
I am well.,0x100043b
land,0x100043c
Britannia.<q>Art thou dim?<y>I thought so.<n>We shall see.,0x100043d
Pix,0x100043e
a small girl,0x100043f
job,0x1000440
What's a job?,0x1000441
heal,0x1000442
"Good, thanks.<q>And thee?<y>Good.<n>Too bad.",0x1000443
Sir Simon,0x1000444
a wise lord,0x1000445
job,0x1000446
I am the keeper.,0x1000447
heal,0x1000448
I am fine.,0x1000449
keep,0x100044a
Of what I cannot say!,0x100044b
zirc,0x100044c
Mystics can be found by an eight parts avatar!<q>Hast thou attained enlightenment in all eight virtues?<y>Mystic armour can be found in the eastern treasure room of Serpent's Hold!<n>Alas.,0x100044d
Lady Tessa,0x100044e
a wise lady,0x100044f
job,0x1000450
I am the keeper.,0x1000451
heal,0x1000452
Well.,0x1000453
keep,0x1000454
I cannot say.,0x1000455
zirc,0x1000456
Mystics can be found by an eight parts avatar!<q>Hast thou attained enlightenment in all eight virtues?<y>Mystic weapons lie in the western treasure room of Serpent's Hold!<n>Alas.,0x1000457
Asemly,0x1000458
a short jester,0x1000459
job,0x100045a
I am here to serve thee.,0x100045b
heal,0x100045c
Jolly good.,0x100045d
serv,0x100045e
"Well, I can dance and sing!<q>Does that interest thee?<y>Good!<n>Well then, I guess I'm no help at all then.",0x100045f
danc,0x1000460
"And sing, tra la la...",0x1000461
Little Jon,0x1000462
a singing bard,0x1000463
job,0x1000464
I sing of Britannia.,0x1000465
heal,0x1000466
Quite well indeed!,0x1000467
brit,0x1000468
"Britannia is a land so fair, to other lands I would not dare!<q>I hear that thou art from another world?<y>What is it called?<n>Just a rumor.",0x1000469
eart,0x100046a
I hope someday thou may return!,0x100046b
Smith,0x100046c
a white stallion,0x100046d
job,0x100046e
"Oh, not much to tell.",0x100046f
heal,0x1000470
"Good, good.",0x1000471
tell,0x1000472
"The one way is Love, Sol, Moons & Death. All else fails!",0x1000473
clue,0x1000474
"The one way is Love, Sol, Moons & Death. All else fails!",0x1000475
Twin Gates,0x1000476
a tall mage,0x1000477
job,0x1000478
We welcome thee to Vesper.,0x1000479
heal,0x100047a
Well.,0x100047b
vesp,0x100047c
"Yes, Vesper is a fair village.<q>Hast thou come a long way?<y>We are honored by the visit of one on the quest!<n>We are honored by the visit of one on the quest!",0x100047d
welc,0x100047e
"Welcome, unto Vesper!",0x100047f
Guard,0x1000480
a hulk,0x1000481
job,0x1000482
"Ug, me tough!",0x1000483
heal,0x1000484
"Ug, me tough!",0x1000485
toug,0x1000486
"Ug, me tough!",0x1000487
ug,0x1000488
"Me tough!<q>Ug, thee tough?<y>Ug, thee tough!<n>Ug, me tough!",0x1000489
Servile,0x100048a
a meek shepherd,0x100048b
job,0x100048c
I can help thee!,0x100048d
heal,0x100048e
Well for now.,0x100048f
help,0x1000490
"I know of the shards of the Mondain's Gem!<q>Hast thou heard of them?<y>If thou dost have one, seek ye to destroy it!<n>They are evil artifacts!",0x1000491
skul,0x1000492
"To use one for any reason is a sign of great evil, and no virtue!",0x1000493
Traveling Dan,0x1000494
short rotund man with a hat and vest,0x1000495
job,0x1000496
"Traveling dan, the tinker man.",0x1000497
heal,0x1000498
"I am fine, thank thee.",0x1000499
tink,0x100049a
I am here to repair goods at the guild shop.<q>Been to the guild shop?<y>Great selection!<n>Best prices!,0x100049b
trav,0x100049c
I know the world is round!,0x100049d
Balthasar,0x100049e
a sturdy peasant,0x100049f
job,0x10004a0
I am a serf.,0x10004a1
heal,0x10004a2
I'm pooped.,0x10004a3
serf,0x10004a4
Serfs work hard for little pay!,0x10004a5
work,0x10004a6
I work the fields for my master!<q>Dost thou have a master?<y>I hope he or she is a kind one!<n>Thou art lucky indeed!,0x10004a7
Plain,0x10004a8
a small man,0x10004a9
job,0x10004aa
I seek humility.,0x10004ab
heal,0x10004ac
I am fully healed.,0x10004ad
humi,0x10004ae
"When the three principles of virtue combine in eight ways, pride has no virtue!",0x10004af
prid,0x10004b0
"To be proud is not a virtue, and so Magincia was destroyed! Humility is the virtue that remains!",0x10004b1
Simple,0x10004b2
a slender shepherdess,0x10004b3
job,0x10004b4
I seek the shrine.,0x10004b5
heal,0x10004b6
I am fine.,0x10004b7
shri,0x10004b8
The shrine of humility!,0x10004b9
humi,0x10004ba
The shrine lies on the north bank of the isle of the abyss and is guarded by a horde of daemons!<q>Know the isle?<y>Good.<n>Southeast of Britannia!,0x10004bb
Gem,0x10004bc
a fair woman,0x10004bd
job,0x10004be
I do humble works.,0x10004bf
heal,0x10004c0
I am doing well.,0x10004c1
work,0x10004c2
I can help thee with the mantra!,0x10004c3
mant,0x10004c4
"Since humility is the opposite of pride, so is its mantra!<q>Know ye the mantra of pride?<y>Then reverse it for humility!<n>When thou dost, reverse it!",0x10004c5
Joseph,0x10004c6
a wise shepherd,0x10004c7
job,0x10004c8
I am but a humble shepherd.,0x10004c9
heal,0x10004ca
I am well.,0x10004cb
shep,0x10004cc
I am on a pilgrimage unto the shrine of humility!<q>Did thou know that there is no shrine of pride?<y>Very good.<n>Pride is not a virtue of the avatar!,0x10004cd
shri,0x10004ce
It is on the dark island!,0x10004cf
Friday,0x10004d0
a beautiful and impressive guard,0x10004d1
job,0x10004d2
I shall warn thee against taking this gold!<q>Dost thou intend to take it?<y>That would not reflect well upon thy virtues!<n>That is good.,0x10004d3
heal,0x10004d4
I am well enough!,0x10004d5
gold,0x10004d6
It is not thine!,0x10004d7
warn,0x10004d8
It is not thine!,0x10004d9
Randal,0x10004da
a solemn ranger,0x10004db
job,0x10004dc
I teach of the shrines.,0x10004dd
heal,0x10004de
I am well.,0x10004df
shri,0x10004e0
"One >must< visit each shrine for one, two & three cycles each for thy paths to be clear!<q>Dost thou visit them often?<y>Very good.<n>Make that the first goal along thy path to avatarhood!",0x10004e1
Dirgen,0x10004e2
a wise man,0x10004e3
job,0x10004e4
I give wise counsel.,0x10004e5
heal,0x10004e6
Well.,0x10004e7
coun,0x10004e8
Strive ye to know and develop the virtue within thee.,0x10004e9
virt,0x10004ea
The Seer Hawkwind should be consulted >often< for he can see within thee!<q>Dost thou?<y>Good!<n>Thou shalt surely stray from the path!,0x10004eb
Shazbot,0x10004ec
a funny jester,0x10004ed
job,0x10004ee
"Thou thinks I'm funny!<q>Don't thou?<y>Well good, I try to be!<n>Ah, too bad, I thought I was.",0x10004ef
heal,0x10004f0
I've a slight tickle!,0x10004f1
funn,0x10004f2
I dare thee to ask me about Nate the snake!,0x10004f3
nate,0x10004f4
"Well, it's a long story and we haven't the time.",0x10004f5
Flatbush,0x10004f6
a slender youth,0x10004f7
job,0x10004f8
I am an apprentice mage!,0x10004f9
heal,0x10004fa
I am very powerful!,0x10004fb
mage,0x10004fc
I am Calumny's favorite!,0x10004fd
calu,0x10004fe
He lives in Yew!<q>Hast thou been to Yew?<y>Calumny knows the quickness spell!<n>Calumny knows the quickness spell! Seek him out!,0x10004ff
Corkrin,0x1000500
a bold paladin,0x1000501
job,0x1000502
I travel these fair lands to spread the virtues!,0x1000503
heal,0x1000504
I am fully healed!,0x1000505
virt,0x1000506
"To know thy progress on the paths of virtue, one >must< visit the Seer Hawkwind often!<q>Dost thou do this?<y>Good.<n>Thou must or thou may stray!",0x1000507
Dyka,0x1000508
a tall nimble man,0x1000509
job,0x100050a
"I am a thief, I like to borrow!",0x100050b
heal,0x100050c
I am very well!,0x100050d
borr,0x100050e
My favorite things to borrow are horses!,0x100050f
hors,0x1000510
"Thou canst steal horses in the towne Paws!<q>Art thou a thief?<y>Watch out for the bull in the corral!<n>Likely, thou art a wimp!",0x1000511
Iolo,0x1000512
a charming bard,0x1000513
job,0x1000514
I play for the people.,0x1000515
heal,0x1000516
Good.,0x1000517
play,0x1000518
I play my lute and receive the good wishes of the people.<q>Do you like my music?<y>Perhaps Zoe can make thee thine own instrument!<n>A shame.,0x1000519
comp,0x100051a
If you treat someone else well then they will have reason to do the same.,0x100051b
Gweno,0x100051c
a charming jester,0x100051d
job,0x100051e
I dance and sing for the children.,0x100051f
heal,0x1000520
Very well.,0x1000521
danc,0x1000522
Dance is good for the soul.<q>Do you give to the needy?<y>Beggars are thankful for small donations.<n>Alas.,0x1000523
begg,0x1000524
To give to a beggar shows compassion.,0x1000525
a child,0x1000526
a small child,0x1000527
job,0x1000528
Singing,0x1000529
heal,0x100052a
Very happy.,0x100052b
sing,0x100052c
The song goes: Ho eyo he hum!,0x100052d
ho,0x100052e
It means: Love to one and all!<q>Do you like the song?<y>Then help us spread the word!<n>Too bad.,0x100052f
a guard,0x1000530
a guard,0x1000531
job,0x1000532
I guard the bridge.,0x1000533
heal,0x1000534
Good.,0x1000535
brid,0x1000536
"Across the bridge our people dance and sing!<q>Would thou like to join them?<y>Remember, an open heart is the first step on the path to wisdom!<n>Then you have no business across the bridge.",0x1000537
guar,0x1000538
Yep.,0x1000539
Pepper,0x100053a
a spicy woman,0x100053b
job,0x100053c
I am a fighting bard.,0x100053d
heal,0x100053e
Healthy.,0x100053f
bard,0x1000540
"Bards know many things.<q>Dost thou seek something?<y>What might that be?<n>Alas, I may have been able to help.",0x1000541
rune,0x1000542
Find a skilled artisan and ask them to carve one for thee!,0x1000543
Thevel,0x1000544
a seasoned fighter,0x1000545
job,0x1000546
I search for the mystery of the magic orbs.,0x1000547
heal,0x1000548
Fairly well.,0x1000549
orbs,0x100054a
A one-handed beggar knows their secrets!<q>Hast thou seen him?<y>Only he knows the orb's gift!<n>Find him in Serpent castle for he knows of orbs!,0x100054b
magi,0x100054c
Magic orbs.,0x100054d
Joe,0x100054e
a drunken fighter,0x100054f
job,0x1000550
Yo ho ho... and a bottle... of rum... hic...,0x1000551
heal,0x1000552
And a bottle of...,0x1000553
ston,0x1000554
Find the yellow stones on a ship in the dungeon Despise...,0x1000555
rum,0x1000556
"Rum... hic...<q>Give me rum?...<y>Thanxth... my friend Joe can help with the stones... hic...<n>Ah, be a joe!",0x1000557
Cricket,0x1000558
a bard in green,0x1000559
job,0x100055a
"Shhh, I'm playing!",0x100055b
heal,0x100055c
Shhh!,0x100055d
shhh,0x100055e
"Yes, shhh!<q>Now wilt thou be quiet?<y>Thanks.<n>I am going to call the guards!",0x100055f
mant,0x1000560
The mantra for the shrine of compassion is 'MU'!,0x1000561
a guard,0x1000562
a cheerful guard,0x1000563
job,0x1000564
I am a guard of course!,0x1000565
heal,0x1000566
I am fully healed.,0x1000567
guar,0x1000568
We guards have a lot of compassion.,0x1000569
comp,0x100056a
We always say: Let all others' troubles be as thine own!<q>Dost thou kill non-evil creatures?<y>That does not show compassion!<n>Good.,0x100056b
a child,0x100056c
a small child,0x100056d
job,0x100056e
I am learning compassion.,0x100056f
heal,0x1000570
O.K.,0x1000571
lear,0x1000572
The solution to ones problems often lies in solving others!,0x1000573
comp,0x1000574
Never care so much for thyself that thou cannot care for others!<q>Know ye the mantra of compassion?<y>Good.<n>Ask Cricket!,0x1000575
Shalimar,0x1000576
a tired shepherd,0x1000577
job,0x1000578
I watch over the children.,0x1000579
heal,0x100057a
Good.,0x100057b
chil,0x100057c
It takes a good deal of compassion to deal with children!,0x100057d
comp,0x100057e
Compassion strengthens the soul as knowledge tempers the mind!<q>Have any kids?<y>Thou dost know what I mean!<n>Too bad.,0x100057f
Sebastian,0x1000580
an injured person,0x1000581
job,0x1000582
I know a terrible secret!,0x1000583
heal,0x1000584
Not so well.,0x1000585
secr,0x1000586
Mondain's influence has not left the world!,0x1000587
mond,0x1000588
Artifacts remain! I heard at Buccaneer's Den!<q>Wilt thou help find and destroy them?<y>Then ask at the pub there of the shards!<n>Oh.,0x1000589
Shapero,0x100058a
a druid,0x100058b
job,0x100058c
I am looking for Julio.,0x100058d
heal,0x100058e
All right.,0x100058f
juli,0x1000590
He knows the true nature of compassion.<q>Art thou on the Quest of the Avatar?<y>Find the shrine of compassion east across two bridges!<n>Too bad.,0x1000591
comp,0x1000592
Seek out Julio and ask him of compassion!,0x1000593
Julio,0x1000594
a solemn bard,0x1000595
job,0x1000596
I seek the true nature of things!,0x1000597
heal,0x1000598
Solemn.,0x1000599
natu,0x100059a
All things have a true nature!<q>Dost thou know the true nature of all things?<y><@lose_humility>Thou art a liar and a braggart.<n><@gain_humility>No mortal can.,0x100059b
comp,0x100059c
Compassion derives itself from unending love!,0x100059d
Mentor,0x100059e
a wise shepherd,0x100059f
job,0x10005a0
I escaped Magincia!,0x10005a1
heal,0x10005a2
I am well.,0x10005a3
magi,0x10005a4
Pride was too great in Magincia!,0x10005a5
prid,0x10005a6
"The city was destroyed by daemons for its pride!<q>Art thou proud?<y><@lose_humility>That is not a virtue!<n><@gain_humility>Pride exists without truth, love, or courage!",0x10005a7
Sprite,0x10005a8
a poor beggar,0x10005a9
job,0x10005ab
I have no job so now I beg!,0x10005ac
heal,0x10005ad
I fear I shall die of starvation!,0x10005ae
star,0x10005af
I have not eaten in a week!,0x10005b0
beg,0x10005b1
Please! Help me!<q>Wilt thou help me?<y>In return I shall tell thee that the symbol of compassion is a rose!<n>I shall starve to death!,0x10005b2
Blake,0x10005b3
an adventurer,0x10005b4
job,0x10005b5
I travel the land.,0x10005b6
heal,0x10005b7
I am well.,0x10005b8
trav,0x10005b9
My friend Vila and I have travelled to many hidden places.<q>Hast thou seen him?<y>I hope he is well!<n>I fear something has happened to him.,0x10005ba
bamb,0x10005bb
I have seen bamboo in a great coastal marsh to the east.,0x10005bc
Zoe,0x10005bd
a woman with a small knife,0x10005be
job,0x10005c0
I make musical instruments.,0x10005c1
heal,0x10005c2
Very well.,0x10005c3
inst,0x10005c4
Lutes mainly. But I can also make panpipes and flutes.,0x10005c5
musi,0x10005c6
Many bards accompany their tales with music.<q>Dost thou think music is important?<y>Its effects are often moving.<n>Most would disagree.,0x10005c7
Geoffrey,0x10005c8
a great warrior,0x10005c9
job,0x10005ca
I lead into battle!,0x10005cb
heal,0x10005cc
I am good and strong!,0x10005cd
warr,0x10005ce
A great warrior is a valiant warrior!<q>Art thou valiant!<y>Perhaps thou canst slay the great Red Dragon in the cave on isle to the north!<n>To flee battle shows cowardice!,0x10005cf
batt,0x10005d0
I desire to fight again in battle!,0x10005d1
Lord Robert,0x10005d2
a mysterious warrior,0x10005d3
job,0x10005d4
I battle for Lord British!<q>Are you a valiant warrior?<y>Then thou dost deserve to know that the symbol of valor is a sword!<n>Thou art a wimp!,0x10005d5
heal,0x10005d6
Outstanding!,0x10005d7
warr,0x10005d8
Thou must battle long and hard to be a warrior.,0x10005d9
batt,0x10005da
Battles are few and too many!,0x10005db
Lady Donna,0x10005dc
a five-foot pregnant woman,0x10005dd
job,0x10005de
I watch over my sheep.,0x10005df
heal,0x10005e0
"Fine, all but the lump in my stomach.",0x10005e1
preg,0x10005e2
"It's no fun to be pregnant.<q>Why, art thou the father?<y>Wait till I tell my husband!<n>Thank god!",0x10005e3
shee,0x10005e4
I can't stand sheep!,0x10005e5
Bengrod,0x10005e6
a wounded fighter!,0x10005e7
job,0x10005e8
I search the dungeons!,0x10005e9
heal,0x10005ea
Poor.,0x10005eb
dung,0x10005ec
"I fell in the dungeon Destard.<q>Hast thou found its altar room?<y>It connects with Covetous, Shame and Hythloth!<n>Find it!",0x10005ed
room,0x10005ee
"Therein, use the stones found in the connecting dungeons!",0x10005ef
Sir William,0x10005f0
a noble fighter,0x10005f1
job,0x10005f2
I search for valiant fighters!<q>Art thou valiant?<y>Strive ye to defeat all evil!<n>I see.,0x10005f3
heal,0x10005f4
Very well.,0x10005f5
evil,0x10005f6
Kill not non-evil creatures but still always stand thy ground!,0x10005f7
kill,0x10005f8
Let them flee instead. Never flee uninjured!,0x10005f9
Sir Hrothgar,0x10005fa
a mighty warrior!,0x10005fb
job,0x10005fc
I fight for valor!,0x10005fd
heal,0x10005fe
Excellent.,0x10005ff
valo,0x1000600
The valiant soul fears not its own visage!<q>Art thou the most valiant of souls?<y><@lose_humility>This is not likely!<n><@gain_humility>Thou should seek the shrine of valor!,0x1000601
shri,0x1000602
"The mantra need be known, ask Aesop!",0x1000603
a guard,0x1000604
a stern guard,0x1000605
job,0x1000607
We guard the gates and these passages!,0x1000608
heal,0x1000609
Well.,0x100060a
gate,0x100060b
The gates of Jhelom.,0x100060c
pass,0x100060d
These passages are restricted.,0x100060e
Aesop,0x100060f
a small man,0x1000610
job,0x1000611
I search for valor!,0x1000612
heal,0x1000613
Well enough.,0x1000614
valo,0x1000615
I find that 'tis easy to be brave from a safe distance!<q>Know what I mean?<y>That's my problem.<n>Thou art brave!,0x1000616
mant,0x1000617
The mantra of valor is 'RA'. Use it in the shrine on the south isle!,0x1000618
Gravnor,0x1000619
a grave fighter,0x100061a
job,0x100061b
I search the dungeons.,0x100061c
heal,0x100061d
So so.,0x100061e
dung,0x100061f
I seek the red stones.,0x1000620
ston,0x1000621
They are found in an underground volcano!,0x1000622
Senora,0x1000623
a beautiful mage,0x1000624
job,0x1000625
I am locked up in this tower.,0x1000626
heal,0x1000627
Well enough.,0x1000628
towe,0x1000629
I am being punished for my crimes.,0x100062a
crim,0x100062b
"Does not matter, I can help thee!<q>Dost thou have a ship?<y>Then thou dost need a sextant. Ask the barkeep for he knows more!<n>Too bad.",0x100062c
Nostro,0x100062d
a withering soul,0x100062e
job,0x100062f
I built these passages and they walled me in!,0x1000630
heal,0x1000631
Very near death!,0x1000632
pass,0x1000633
It runs around the entire city!<q>Wilt thou lead me out?<y>I am saved!<n>Thou art a cad! And I will still follow!,0x1000634
gran,0x1000635
I have a stockpile in one of the towers... take some if thou canst find it.,0x1000636
Luke,0x1000637
a ranger with a far away look,0x1000638
job,0x1000639
I seek the inner light!,0x100063a
heal,0x100063b
Quite well.,0x100063c
ligh,0x100063d
I come from Skara Brae and am on my way to Yew.<q>Hast thou been to Skara Brae?<y>A fine city!<n>'tis a spiritual city!,0x100063e
yew,0x100063f
'tis a city based in the virtue of justice!,0x1000640
Max,0x1000641
the housekeeper,0x1000642
job,0x1000643
I am the housekeeper.,0x1000644
heal,0x1000645
Good!,0x1000646
hous,0x1000647
"I clean the rooms.<q>Is there some problem with thy room?<y>I am very sorry I will correct it right away!<n>Oh, thou had me worried!",0x1000648
room,0x1000649
That's a strange one at the end. People often disappear.,0x100064a
X,0x100064b
a strange person,0x100064c
job,0x100064d
I seek the stones.,0x100064e
heal,0x100064f
O.K.,0x1000650
ston,0x1000651
The red stones.,0x1000652
red,0x1000653
"Red is for valor, a virtue of the avatar!<q>Art thou an avatar?<y><@lose_humility>Wow!<n><@gain_humility>Then thou shalt need a red stone for use in an altar room to get the third part of a key!",0x1000654
