Create Account,0x2000000
Coin,0x20002cd
Experience,0x20002ce
Food,0x20002cf
Red Gem,0x20002d0
Green Gem,0x20002d1
Blue Gem,0x20002d2
White Gem,0x20002d3
Gem,0x20002d4
Hitpoints,0x20002d5
Intelligence,0x20002d6
Keys,0x20002d7
Mana,0x20002d8
Potions,0x20002d9
Rope & Spikes,0x20002da
Shuttle Pass,0x20002db
Blink,0x20002dc
Create Field,0x20002dd
Destroy Field,0x20002de
Down,0x20002df
Heal,0x20002e0
Kill,0x20002e1
Light,0x20002e2
Magic Missile,0x20002e3
Open,0x20002e4
Prayer,0x20002e5
Surface,0x20002e6
Up,0x20002e7
Stamina,0x20002e8
Strength,0x20002e9
Torches,0x20002ea
Wisdom,0x20002eb
The Pillars of Protection,0x20002ec
The Tower of Knowledge,0x20002ed
The Pillars of the Argonauts,0x20002ee
The Pillar of Ozymandias,0x20002ef
The Grave of the Lost Soul,0x20002f0
The Eastern Sign Post,0x20002f1
The Sign Post,0x20002f2
The Southern Sign Post,0x20002f3
DUCIS-EDUCO!,0x20002f4
Blink,0x20002f5
STRUXI!,0x20002f6
Create Field,0x20002f7
DELIO!,0x20002f8
Destroy Field,0x20002f9
INFERUS!,0x20002fa
Down,0x20002fb
SANO!,0x20002fc
Heal,0x20002fd
INTERFICIO!,0x20002fe
Kill,0x20002ff
LUX!,0x2000300
Light,0x2000301
VASTO!,0x2000302
Magic Missile,0x2000303
APERTUS!,0x2000304
Open,0x2000305
POTENTIS-LAUDIS!,0x2000306
Prayer,0x2000307
CONSCENDO!,0x2000308
Surface,0x2000309
ASCENDO!,0x200030a
Up,0x200030b
large bush,0x200030c
bush,0x200030d
secret door,0x200030e
floor,0x200030f
tiled floor,0x2000310
forest,0x2000311
grass,0x2000312
mountains,0x2000313
pond,0x2000314
space,0x2000315
stars,0x2000316
stars,0x2000317
stars,0x2000318
stars,0x2000319
brick wall,0x200031a
wall of fire,0x200031b
wall,0x200031c
water,0x200031d
Amulet,0x200031e
Axe,0x200031f
Blaster,0x2000320
Bow,0x2000321
Cannon Fire,0x2000322
Dagger,0x2000323
Great Sword,0x2000324
Light Sword,0x2000325
Mace,0x2000326
Magic Missile,0x2000327
Phazor,0x2000328
Pistol,0x2000329
Staff,0x200032a
Sword,0x200032b
Triangle,0x200032c
Magic Wand,0x200032d
aircar,0x200032e
counter,0x200032f
counter,0x2000330
counter,0x2000331
counter,0x2000332
counter,0x2000333
counter,0x2000334
barrier,0x2000335
cart,0x2000336
chest,0x2000337
door,0x2000338
locked door,0x2000339
locked door,0x200033a
explosion,0x200033b
frigate,0x200033c
Gem of Immortality,0x200033d
horse,0x200033e
pit,0x200033f
water,0x2000340
water,0x2000341
water,0x2000342
water,0x2000343
water,0x2000344
water,0x2000345
water,0x2000346
pub,0x2000347
raft,0x2000348
shuttle,0x2000349
signpost,0x200034a
large space vessel,0x200034b
sleek space vessel,0x200034c
sun,0x200034d
Time Machine,0x200034e
concealed trap,0x200034f
Chain Mail,0x2000350
Cloth,0x2000351
Leather,0x2000352
Plate Mail,0x2000353
Power Armour,0x2000354
Reflect Armour,0x2000355
Balron,0x2000356
Cleric,0x2000357
Carrion Creeper,0x2000358
Daemon,0x2000359
Devil,0x200035a
Fighter,0x200035b
Gargoyle,0x200035c
Ghost,0x200035d
Gremlin,0x200035e
Guard,0x200035f
Horse,0x2000360
Jester,0x2000361
King,0x2000362
Lizard Man,0x2000363
Man-o-War,0x2000364
Minax,0x2000365
Minotaur,0x2000366
Necromancer,0x2000367
Ness Creature,0x2000368
Orc,0x2000369
Pirate Ship,0x200036a
Princess,0x200036b
Sea Monster,0x200036c
Enemy Vessel,0x200036d
Tangler,0x200036e
Thief,0x200036f
Titan,0x2000370
Villager,0x2000371
Viper,0x2000372
Wandering Eyes,0x2000373
Warlock,0x2000374
Wizard,0x2000375
Wraith,0x2000376
Zombie,0x2000377
Gold,0x2000378
Food,0x2000379
Equipment,0x200037a
Weapon,0x200037b
Armour,0x200037c
Spell,0x200037d
Welcome my child!,0x200037e
And for it I raise thee %d!,0x200037f
Tribute (50 Gold),0x2000380
Return to Britannia,0x2000381
First my tribute!,0x2000382
You don't have that much!,0x2000383
Earth (1990 AD),0x2000384
Castle British (1990 AD),0x2000385
Dungeon (1990 AD),0x2000386
Tower (1990 AD),0x2000387
New San Antonio (1990 AD),0x2000388
Port Bonifice (1990 AD),0x2000389
Dungeon (Aftermath),0x200038a
Pirate's Harbour (Aftermath),0x200038b
Earth (Aftermath),0x200038c
Earth (1423 BC),0x200038d
Castle British (1423 BC),0x200038e
Dungeon (1423 BC),0x200038f
Tower (1423 BC),0x2000390
Towne Linda (1423 BC),0x2000391
Le Jester (1423 BC),0x2000392
Shadow Guard,0x2000393
Legends,0x2000394
Dungeon (Pangea),0x2000395
Baradin's Town (Pangea),0x2000396
Pangea,0x2000397
Dungeon (Jupiter),0x2000398
Tower (Jupiter),0x2000399
Village of the Preppies (Jupiter),0x200039a
Jupiter,0x200039b
Towne Mary (Mars),0x200039c
Mars,0x200039d
Dungeon (Mercury),0x200039e
Mercury,0x200039f
Computer Camp (Neptune),0x20003a0
Neptune,0x20003a1
Castle Barataria (Planet X),0x20003a2
Towne Basko (Planet X),0x20003a3
Planet X,0x20003a4
Dungeon (Pluto),0x20003a5
Towne Makler (Pluto),0x20003a6
Tommersville (Pluto),0x20003a7
Pluto,0x20003a8
Saturn,0x20003a9
Earth Orbit,0x20003aa
Jupiter Orbit,0x20003ab
Mars Orbit,0x20003ac
Mercury Orbit,0x20003ad
Neptune Orbit,0x20003ae
Planet X Orbit,0x20003af
Pluto Orbit,0x20003b0
Saturn Orbit,0x20003b1
Sol Vicinity,0x20003b2
Sol Space,0x20003b3
Uranus Orbit,0x20003b4
Venus Orbit,0x20003b5
New Jester (Uranus),0x20003b6
Uranus,0x20003b7
Venus,0x20003b8
Alamo Armoury,0x20003b9
The Armoury,0x20003ba
Bradbury Armoury,0x20003bb
Ozy Armoury,0x20003bc
Beth's Armor,0x20003bd
X Road Chapel,0x20003be
Chad Mads,0x20003bf
Red Magic,0x20003c0
Holy Spells,0x20003c1
Wizardry,0x20003c2
The Church,0x20003c3
Jovian Magic,0x20003c4
Good Magic,0x20003c5
Camp Magic,0x20003c6
The Clergy,0x20003c7
Mages Magic,0x20003c8
Clergy Corner,0x20003c9
Kurt's,0x20003ca
Druid Magic,0x20003cb
Magic is Fun,0x20003cc
Mc Donalls,0x20003d3
Alfred's Fish 'n Chips,0x20003d4
Eat Preppies Izod Burgers,0x20003d5
Mess Hall,0x20003d6
The Deli,0x20003d7
Your Chef,0x20003d8
Jack in de Box,0x20003d9
Texas Transport,0x20003da
The Stables,0x20003db
Martian Transport,0x20003dc
X Transport,0x20003dd
Makler Transport,0x20003de
Swashbucklers Pub and Pizza,0x20003df
Pub de Varg,0x20003e0
The Pub,0x20003e1
Get Drunk at Ozy's,0x20003e2
Adam's Pub,0x20003e3
Death 'N Destroy,0x20003e4
Linda Weaponry,0x20003e5
Burroughs Armaments,0x20003e6
Weapons Ltd,0x20003e7
George's Arms,0x20003e8
Cleric,0x20003e9
Fighter,0x20003ea
Thief,0x20003eb
Wizard,0x20003ec
Tower,0x20003ed
Agility,0x20003ee
Ankhs,0x20003ef
Blue Tassles,0x20003f0
Boots,0x20003f1
Brass Buttons,0x20003f2
Charisma,0x20003f3
Cloaks,0x20003f4
Experience,0x20003f5
Food,0x20003f6
Gold,0x20003f7
Green Idols,0x20003f8
Helms,0x20003f9
Hitpoints,0x20003fa
Intelligence,0x20003fb
Keys,0x20003fc
Mana,0x20003fd
Potions,0x20003fe
Magic Ring,0x20003ff
Rings,0x2000400
Skull Keys,0x2000401
Blink,0x2000402
Down,0x2000403
Heal,0x2000404
Kill,0x2000405
Light,0x2000406
Magic Missile,0x2000407
Prayer,0x2000408
Surface,0x2000409
Up,0x200040a
Staves,0x200040b
Stamina,0x200040c
Strength,0x200040d
Tools,0x200040e
Torches,0x200040f
Tri-Lithium,0x2000410
Wands,0x2000411
Wisdom,0x2000412
"Anos: 190,000,000 B.C.",0x2000413
Anos: 1423 B.C.,0x2000414
Anos: 1990 A.D.,0x2000415
Anos: 2112 A.D.,0x2000416
Anos: Legends!,0x2000417
Uranus,0x2000418
Blink,0x2000419
Down,0x200041a
Heal,0x200041b
Kill,0x200041c
Light,0x200041d
Magic Missile,0x200041e
Prayer,0x200041f
Surface,0x2000420
Up,0x2000421
secret door,0x2000422
brick floor,0x2000423
brick floor,0x2000424
forest,0x2000425
grass,0x2000426
marsh,0x2000427
mountains,0x2000428
sign showing the letter 'A',0x2000429
sign showing the letter 'B',0x200042a
sign showing the letter 'C',0x200042b
sign showing the letter 'D',0x200042c
sign showing the letter 'E',0x200042d
sign showing the letter 'F',0x200042e
sign showing the letter 'G',0x200042f
sign showing the letter 'H',0x2000430
sign showing the letter 'I',0x2000431
sign showing the letter 'J',0x2000432
sign showing the letter 'K',0x2000433
sign showing the letter 'L',0x2000434
left edge of a sign,0x2000435
sign showing the letter 'M',0x2000436
sign showing the letter 'N',0x2000437
sign showing the letter 'O',0x2000438
sign showing the letter 'P',0x2000439
sign showing the letter 'Q',0x200043a
sign showing the letter 'R',0x200043b
right edge of a sign,0x200043c
sign showing the letter 'S',0x200043d
sign showing a blank space,0x200043e
sign showing the letter 'T',0x200043f
sign showing the letter 'U',0x2000440
sign showing the letter 'V',0x2000441
sign showing the letter 'W',0x2000442
sign showing the letter 'X',0x2000443
sign showing the letter 'Y',0x2000444
sign showing the letter 'Z',0x2000445
brick wall,0x2000446
brick wall,0x2000447
water,0x2000448
Axe,0x2000449
Bow,0x200044a
Cannon Fire,0x200044b
Dagger,0x200044c
Great Sword,0x200044d
Light Sword,0x200044e
Mace,0x200044f
Magic Missile,0x2000450
Phaser,0x2000451
Quicksword,0x2000452
Sword,0x2000453
chest,0x2000454
door,0x2000455
locked door,0x2000456
force field,0x2000457
horse,0x2000458
plane,0x2000459
rocket,0x200045a
armour cache,0x200045b
ship,0x200045c
signpost,0x200045d
weapon cache,0x200045e
Timegate,0x200045f
Timegate,0x2000460
Chain Mail,0x2000461
Cloth,0x2000462
Dragon Plate,0x2000463
Exotic Armour,0x2000464
Leather,0x2000465
Plate Mail,0x2000466
Steel Chain,0x2000467
Card of,0x2000468
Death,0x2000469
Love,0x200046a
Sol,0x200046b
Moons,0x200046c
You can see a glowing brand within the wall of flame.<b>Touch it?,0x200046d
Adventurer,0x200046e
Balron,0x200046f
Bradle,0x2000470
Brigand,0x2000471
Cleric,0x2000472
Crawler,0x2000473
Cutpurse,0x2000474
Daemon,0x2000475
Devil,0x2000476
Dragon,0x2000477
Evil Trent,0x2000478
Fighter,0x2000479
Gargoyle,0x200047a
Ghoul,0x200047b
Giant,0x200047c
Goblin,0x200047d
Golem,0x200047e
Gremlin,0x200047f
Griffon,0x2000480
Guard,0x2000481
Horse,0x2000482
Jester,0x2000483
Lord British,0x2000484
Lecher,0x2000485
Mane,0x2000486
Man-O-War,0x2000487
Mimic,0x2000488
Orc,0x2000489
Orcus,0x200048a
Pincher,0x200048b
Pirate Ship,0x200048c
Sea Serpent,0x200048d
Skeleton,0x200048e
Snatch,0x200048f
Thief,0x2000490
Time Lord,0x2000491
Titan,0x2000492
Troll,0x2000493
Villager,0x2000494
Floor,0x2000495
Grass,0x2000496
Wench,0x2000497
Wizard,0x2000498
Wyvern,0x2000499
Zombie,0x200049a
Gold,0x200049b
Food,0x200049c
Equipment,0x200049d
Weapon,0x200049e
Armour,0x200049f
Bye,0x20004a0
Experience more!,0x20004a1
Thou art greater...,0x20004a2
Welcome my child.,0x20004a3
Seek ye the Mark of Kings!,0x20004a4
No more!,0x20004a5
Report Deeds,0x20004a6
End Story,0x20004a7
Ambrosia,0x20004a8
Castle Fire,0x20004a9
Castle British,0x20004aa
Dardin's Pit,0x20004ab
Doom,0x20004ac
Fire,0x20004ad
Mines of Morinia,0x20004ae
Perinian Depths,0x20004af
Snake,0x20004b0
Time,0x20004b1
Shrine of Dexterity,0x20004b2
Shrine of Intelligence,0x20004b3
Shrine of Strength,0x20004b4
Shrine of Wisdom,0x20004b5
Sosaria,0x20004b6
Britain,0x20004b7
Dawn,0x20004b8
Death Gulch,0x20004b9
Devil Guard,0x20004ba
Fawn,0x20004bb
Grey,0x20004bc
Montor East,0x20004bd
Montor West,0x20004be
Moon,0x20004bf
Yew,0x20004c0
Mark of Kings,0x20004c1
Mark of Force,0x20004c2
Mark of Fire,0x20004c3
Mark of the Snake,0x20004c4
Alchemist,0x20004c5
Barbarian,0x20004c6
Cleric,0x20004c7
Druid,0x20004c8
Fighter,0x20004c9
Illusionist,0x20004ca
Lark,0x20004cb
Paladin,0x20004cc
Ranger,0x20004cd
Thief,0x20004ce
Wizard,0x20004cf
Dexterity,0x20004d0
Experience,0x20004d1
Food,0x20004d2
Gems,0x20004d3
Gold,0x20004d4
Hitpoints,0x20004d5
Intelligence,0x20004d6
Keys,0x20004d7
Level,0x20004d8
Mana,0x20004d9
Potions,0x20004da
Strength,0x20004db
Torches,0x20004dc
Wisdom,0x20004dd
Alcort,0x20004de
Altair,0x20004df
Anju Sermani,0x20004e0
Appar Unem,0x20004e1
Dag Acron,0x20004e2
Dag Lorum,0x20004e3
Dag Mentor,0x20004e4
Decorp,0x20004e5
Dor Acron,0x20004e6
Excuun,0x20004e7
Fulgar,0x20004e8
Lib Rec,0x20004e9
Lorum,0x20004ea
Luminae,0x20004eb
Mentar,0x20004ec
Mittar,0x20004ed
Necorp,0x20004ee
Noxum,0x20004ef
Pontori,0x20004f0
Rec Du,0x20004f1
Rec Su,0x20004f2
Repond,0x20004f3
Sanctu Mani,0x20004f4
Sanctu,0x20004f5
Sequitu,0x20004f6
Sominae,0x20004f7
Sur Acron,0x20004f8
Surmandum,0x20004f9
----------,0x20004fa
Vieda,0x20004fb
Zxkuqyb,0x20004fc
brush,0x20004fd
secret door,0x20004fe
brick floor,0x20004ff
brick floor,0x2000500
forest,0x2000501
grass,0x2000502
lava,0x2000503
mountains,0x2000504
sign showing the letter 'A',0x2000505
sign showing the letter 'B',0x2000506
sign showing the letter 'C',0x2000507
sign showing the letter 'D',0x2000508
sign showing the letter 'E',0x2000509
sign showing the letter 'F',0x200050a
sign showing the letter 'G',0x200050b
sign showing the letter 'H',0x200050c
sign showing the letter 'I',0x200050d
sign showing the letter 'J',0x200050e
sign showing the letter 'K',0x200050f
sign showing the letter 'L',0x2000510
left edge of a sign,0x2000511
sign showing the letter 'M',0x2000512
sign showing the letter 'N',0x2000513
sign showing the letter 'O',0x2000514
sign showing the letter 'P',0x2000515
sign showing the letter 'Q',0x2000516
sign showing the letter 'R',0x2000517
right edge of a sign,0x2000518
sign showing the letter 'S',0x2000519
sign showing a blank space,0x200051a
sign showing the letter 'T',0x200051b
sign showing the letter 'U',0x200051c
sign showing the letter 'V',0x200051d
sign showing the letter 'W',0x200051e
sign showing the letter 'X',0x200051f
sign showing the letter 'Y',0x2000520
sign showing the letter 'Z',0x2000521
brick wall,0x2000522
brick wall,0x2000523
water,0x2000524
Axe,0x2000525
Bow,0x2000526
Broad Axe,0x2000527
Cannon Fire,0x2000528
Dagger,0x2000529
Exotic Arms,0x200052a
Fighter s Axe,0x200052b
Fireball,0x200052c
Gauntlets,0x200052d
Iron Sword,0x200052e
Long Bow,0x200052f
Mace,0x2000530
Magic Missile,0x2000531
Silver Bow,0x2000532
Sling,0x2000533
Sun Sword,0x2000534
Sword,0x2000535
Two-Handed Sword,0x2000536
ashes,0x2000537
chest,0x2000538
door,0x2000539
locked door,0x200053a
Exodus,0x200053b
force field,0x200053c
fountain,0x200053d
lava,0x200053e
wall of fire,0x200053f
glowing rod,0x2000540
Moongate,0x2000541
Moongate,0x2000542
Silver Snake,0x2000543
Silver Snake,0x2000544
ship,0x2000545
signpost,0x2000546
concealed trap,0x2000547
whirlpool,0x2000548
Magic Chain,0x2000549
Chain Mail,0x200054a
Cloth,0x200054b
Leather,0x200054c
Magic Plate,0x200054d
Plate Mail,0x200054e
Mystic Robe,0x200054f
"If all eight virtues combine into and are derived from the Three Principles of Truth, Love and Courage... Then what is the one thing which encompasses and is the whole of all undeniable Truth, unending Love, and unyielding Courage?",0x2000550
Thou dost not know the true nature of the Universe.,0x2000551
The boundless knowledge of the Codex of Ultimate Wisdom is revealed unto thee.,0x2000552
"There is a sudden darkness, and you find yourself alone in an empty chamber.",0x2000553
You use your Key of Three Parts.,0x2000554
The floor rumbles beneath your feet.,0x2000555
"If all else is imaginary, this is real...",0x2000556
"What plunges to the depths, while soaring on the heights?",0x2000557
What turns not away from any peril?,0x2000558
Thy thoughts are not pure. I ask again.,0x2000559
Thy quest is not yet complete.,0x200055a
Thou art well versed in the virtues of the Avatar.,0x200055b
What dost thou possess if all may rely upon your every word?,0x200055c
What quality compels one to share in the journeys of others?,0x200055d
What answers when great deeds are called for?,0x200055e
What should be the same for Lord and Serf alike?,0x200055f
What is loath to place the self above aught else?,0x2000560
What shirks no duty?,0x2000561
"What, in knowing the true self, knows all?",0x2000562
What is that which Serfs are born with but Nobles must strive to obtain?,0x2000563
A voice rings out:,0x2000564
The voice asks:,0x2000565
"Above the din, the voice asks:",0x2000566
The voice says:,0x2000567
What is the Word of Passage?,0x2000568
Thou art not ready.,0x2000569
Passage is granted.,0x200056a
Land balloon!,0x200056b
"As thou doth approach the altar, a voice rings out:",0x200056c
The voice says: Use thy stone.,0x200056d
Color:,0x200056e
What virtue dost stem from Truth?,0x200056f
What virtue dost stem from Love?,0x2000570
What virtue dost stem from Courage?,0x2000571
What virtue dost stem from Truth and Love?,0x2000572
What virtue dost stem from Love and Courage?,0x2000573
What virtue dost stem from Courage and Truth?,0x2000574
"What virtue dost stem from Truth, Love and Courage?",0x2000575
"What virtue exists independently of Truth, Love and Courage?",0x2000576
Meditate at the shrine?,0x2000577
Open the Codex?,0x2000578
"On the altar, there are holes for four stones.",0x2000579
Select which stones to insert:,0x200057a
Drink from the fountain?,0x200057b
Touch the orb?,0x200057c
"Through the telescope, you see a cave to the north!",0x200057d
You kneel before the shrine...,0x200057e
For how many cycles (0-3)?,0x200057f
Mantra?,0x2000580
Upon what virtue dost thou meditate?,0x2000581
Adventurer,0x2000582
Ankh,0x2000583
Balron,0x2000584
Bard,0x2000585
Giant Bat,0x2000586
Beggar,0x2000587
Bull,0x2000588
Child,0x2000589
Cyclops,0x200058a
Daemon,0x200058b
Dragon,0x200058c
Druid,0x200058d
Ettin,0x200058e
Fighter,0x200058f
Fire Spirit,0x2000590
Gazer,0x2000591
Ghost,0x2000592
Gremlin,0x2000593
Guard,0x2000594
Headless,0x2000595
Horse,0x2000596
Hydra,0x2000597
Insect Swarm,0x2000598
Jester,0x2000599
Lord British,0x200059a
Lava Lizard,0x200059b
Lich,0x200059c
Mage,0x200059d
Mimic,0x200059e
Bard,0x200059f
Nixie,0x20005a0
Orc,0x20005a1
Paladin,0x20005a2
Phantom,0x20005a3
Phantom,0x20005a4
Pirate Ship,0x20005a5
Ranger,0x20005a6
Giant Rat,0x20005a7
Reaper,0x20005a8
Rogue,0x20005a9
Sea Serpent,0x20005aa
Seahorse,0x20005ab
Serpent,0x20005ac
Shepherd,0x20005ad
Skeleton,0x20005ae
Slime,0x20005af
Giant Spider,0x20005b0
Giant Squid,0x20005b1
Tinker,0x20005b2
Troll,0x20005b3
Villager,0x20005b4
Water Spirit,0x20005b5
Wisp,0x20005b6
Wizard,0x20005b7
Casualty,0x20005b8
Zorn,0x20005b9
Gold,0x20005ba
Food,0x20005bb
Equipment,0x20005bc
Reagent,0x20005bd
Spell Mixture,0x20005be
Weapon,0x20005bf
Armour,0x20005c0
"An official copy of Ultima IV is required to exist on your computer and can be downloaded freely and legally at gog.com. If Ultima IV is already installed, please specify the path to the game folder. The location you specify will be remembered.",0x20005c1
Bell,0x20005c2
Bell of Courage,0x20005c3
Book,0x20005c4
Book of Truth,0x20005c5
Candle,0x20005c6
Candle of Love,0x20005c7
Old Daemon Horn,0x20005c8
Key of Truth,0x20005c9
Key of Love,0x20005ca
Key of Courage,0x20005cb
Sextant,0x20005cc
Silver Horn,0x20005cd
Skull Fragment,0x20005ce
Key of Three Parts,0x20005cf
Lord British says: Fare thee well my friend!,0x20005d0
"Lord British rises and says: At long last! %s, thou hast come! We have waited such a long, long time...",0x20005d1
"Lord British sits and says: A new age is upon Britannia. The great evil Lords are gone but our people lack direction and purpose in their lives... A champion of virtue is called for. Thou may be this champion, but only time shall tell. I will aid thee any way that I can!",0x20005d2
"Lord British says: Welcome, %s.",0x20005d3
"%s, thou art now level %d!",0x20005d4
I cannot help thee with that.,0x20005d5
How may I help thee?,0x20005d6
What would thou ask of me?,0x20005d7
What else?,0x20005d8
Altar of Courage,0x20005d9
Altar of Love,0x20005da
Altar of Truth,0x20005db
Britannia,0x20005dc
Castle Britannia,0x20005dd
Dragon's Lair,0x20005de
Cave of the Lost,0x20005df
Labyrinth of Humility,0x20005e0
Mine,0x20005e1
Chamber of the Codex,0x20005e2
Covetous,0x20005e3
Deceit,0x20005e4
Despise,0x20005e5
Destard,0x20005e6
Hythloth,0x20005e7
Shame,0x20005e8
Great Stygian Abyss,0x20005e9
Wrong,0x20005ea
Empath Abbey,0x20005eb
The Lycaeum,0x20005ec
Serpent's Hold,0x20005ed
Shrine of Compassion,0x20005ee
Honesty,0x20005ef
Shrine of Honor,0x20005f0
Shrine of Humility,0x20005f1
Shrine of Justice,0x20005f2
Shrine of Sacrifice,0x20005f3
Shrine of Spirituality,0x20005f4
Shrine,0x20005f5
Shrine of Valor,0x20005f6
Britain,0x20005f7
Jhelom,0x20005f8
Magincia,0x20005f9
Minoc,0x20005fa
Moonglow,0x20005fb
Skara Brae,0x20005fc
Trinsic,0x20005fd
Yew,0x20005fe
Buccaneer's Den,0x20005ff
Cove,0x2000600
Paws,0x2000601
Vesper,0x2000602
Windsor Armour,0x2000603
Winston,0x2000604
Basic Armour,0x2000605
Limpy,0x2000606
"Well then, we've got",0x2000607
Too bad.,0x2000608
Wouldst thou like to buy?,0x2000609
Good choice!,0x200060a
says: Good bye.,0x200060b
What are you try'n to pull? You can't pay!,0x200060c
Anything else?,0x200060d
"Cloth Armour is good for a tight budget, fairly priced at %ugp.",0x200060e
"Leather Armour is both supple and strong, and costs a mere %ugp. A bargain!",0x200060f
Chain Mail is the armour used by more warriors than all others. Ours cost %ugp.,0x2000610
Full Plate armour is the ultimate non-magical armour. Get yours for %ugp.,0x2000611
Magic Armour is rare and expensive. This chain sells for %ugp.,0x2000612
Magic Plate armour is the best known protection. Only we have it. Cost: %ugp.,0x2000613
Welcome to,0x2000614
says: Welcome friend!,0x2000615
Valiant's Armour,0x2000616
Valiant,0x2000617
Light Armour,0x2000618
Pierre,0x2000619
What'll it be?,0x200061a
Want to Buy or Sell?,0x200061b
What will you sell?,0x200061c
Harumph.,0x200061d
You have nothing to sell!,0x200061e
I will give you %ugp for that %s. Deal?,0x200061f
Fine!,0x2000620
Duelling Armour,0x2000621
Jean,0x2000622
Pirate's Guild,0x2000623
One Eyed Willey,0x2000624
Hmmm... Grmbl...,0x2000625
Fine... fine...,0x2000626
says: See ya matie!,0x2000627
What? Can't pay! Buzz off swine!,0x2000628
"Ya see I gots Torches, Magic Gems, and Magic Keys.",0x2000629
"Potions have magical healing powers, %u fer %ugp.",0x200062a
"I've got magical mapping gems, %u for only %ugp.",0x200062b
Avast ye mate! Shure ye wishes to buy from ol',0x200062c
says: Welcome to ,0x200062d
"Magical keys, 1 use each, %u for a fair price at %ugp.",0x200062e
Like to see my goods?,0x200062f
Will ya buy?,0x2000630
says: See more?,0x2000631
Wat'l it be?,0x2000632
So... Ya want a Sextant... Well I gots one which I might part with fer %u gold!,0x2000633
I can give ya %u long lasting torches for a mere %ugp.,0x2000634
The Guild Shop,0x2000635
Long John Leary,0x2000636
says: Good mate!,0x2000637
Wound Healing,0x2000638
Celest,0x2000639
says: May thy life be guarded by the powers of good.,0x200063a
Thou suffers not from poison!,0x200063b
Thou art already quite healthy!,0x200063c
I see by thy purse that thou hast not enough gold. I cannot aid thee.,0x200063d
Thy spirit is already bound!,0x200063e
The Healer Shop,0x200063f
Quat,0x2000640
Cured!,0x2000641
Curing,0x2000642
"says: We can perform healing, curing, and resurrection. We also sell healing potions.",0x2000643
"A curing will remove the poison that afflicts thee, but will cost thee %ugp.",0x2000644
A healing will magically repair damage to thy body and will cost thee %ugp.,0x2000645
Resurrection will bind thy spirit to thy flesh so that thou may reenter your body after death. This will cost thee %ugp.,0x2000646
Our potions have magical healing powers. You get 5 vials for %ugp.,0x2000647
Art thou willing to give 100pts of thy blood to aid others?,0x2000648
Thou art a great help. We are in dire need!,0x2000649
The Love Healer,0x200064a
Sallé,0x200064b
Welcome unto,0x200064c
says: Peace and Joy be with you friend. Are you in need of help?,0x200064d
Healed!,0x200064e
Healing,0x200064f
We cannot perform that service!,0x2000650
Heal and Health,0x2000651
Triplet,0x2000652
The Royal Healer,0x2000653
Pendragon,0x2000654
The Truth Healer,0x2000655
Starfire,0x2000656
The Healer,0x2000657
Harmony,0x2000658
Healing Potions,0x2000659
Sold!,0x200065a
Wilt thou pay?,0x200065b
Do you need more help?,0x200065c
Your need?,0x200065d
Binding successful!,0x200065e
Resurrection,0x200065f
Courage Healer,0x2000660
Windwalker,0x2000661
The Mystic Heal,0x2000662
Spiran,0x2000663
Then I cannot aid thee.,0x2000664
Just Healing,0x2000665
Justin,0x2000666
Britannia Manor,0x2000667
We have a modest sized room with 1 bed for %ugp.,0x2000668
Jason,0x2000669
You won't find a better deal in this towne!,0x200066a
Very good. Have a pleasant night.,0x200066b
"If you can't pay, you can't stay! Good Bye.",0x200066c
"1, 2 or 3 beds?",0x200066d
The Innkeep says: Welcome to ,0x200066e
I am,0x200066f
The Innkeeper says: Get that horse out of here!!!,0x2000670
In the middle of the night...,0x2000671
The Inn of Ends,0x2000672
We have a very secure room of modest size and 1 bed for %ugp.,0x2000673
Smirk,0x2000674
"Oh, and don't mind the strange noises, it's only rats!",0x2000675
Wayfarer's Inn,0x2000676
"We have three rooms available, a 1, 2 and 3 bed room for %u, %u and %ugp each.",0x2000677
Estro,0x2000678
The Honest Inn,0x2000679
We have a room with 2 beds that rents for %ugp.,0x200067a
Scatu,0x200067b
"Alas, there is no vacancy!",0x200067c
says: Then you have come to the wrong place! Good day.,0x200067d
Are you in need of lodging?,0x200067e
Take it?,0x200067f
"Sorry, but that room is no longer available!",0x2000680
The Inn of the Spirits,0x2000681
"Unfortunately, I have but only a very small room with 1 bed: worse yet, it is haunted! If you do wish to stay it costs %ugp.",0x2000682
Tyrone,0x2000683
Honorable Inn,0x2000684
We have a single bed room with a back door for %ug.,0x2000685
Zajac,0x2000686
The Sleep Shop,0x2000687
"All we have is that cot over there. But it is comfortable, and only %ugp.",0x2000688
Tymus,0x2000689
Adventure Food,0x200068a
Windrick,0x200068b
Too bad. Maybe next time.,0x200068c
"Goodbye, come again!",0x200068d
You have not the funds!,0x200068e
"We have the best adventure rations, %u for only %u %s.",0x200068f
You have not the need!,0x2000690
"says: Good day, and welcome friend!",0x2000691
The Sage Deli,0x2000692
Shaman,0x2000693
The Market,0x2000694
Max,0x2000695
May I interest you in some rations?,0x2000696
How many packs of %u would you like?,0x2000697
Anything else?,0x2000698
Thank you.,0x2000699
Food for Thought,0x200069a
Mintol,0x200069b
Welcome to,0x200069c
The Dry Goods,0x200069d
Donnar,0x200069e
Magic Mentar,0x200069f
Shannon,0x20006a0
says: Perhaps another time then.... and slowly turns away.,0x20006a1
"Very well, I have",0x20006a2
"Very well, we sell %s for %ugp. How many would you like?",0x20006a3
A blind woman turns to you and says: Welcome to ,0x20006a4
I am,0x20006a5
